,time,body_number,area_scaled,perimeter_scaled,circularity,AR
1,Sun Mar 23 15:11:19 2025,17,11840.0,635.6955262170047,0.3681825966630424,1.1898602684395263
6,Sun Mar 23 15:11:19 2025,13,45120.0,921.5189027078675,0.6676832152395414,1.103812058402807
7,Sun Mar 23 15:11:19 2025,15,24896.0,677.3523804664972,0.6818833977088543,1.1685447453394657
8,Sun Mar 23 15:11:19 2025,6,15808.0,498.55844122715706,0.7991984697174022,1.0776195916171518
11,Sun Mar 23 15:11:19 2025,3,26816.0,893.1168824543142,0.42246162311026647,1.5585002975273263
14,Sun Mar 23 15:11:19 2025,1,26368.0,746.6072144624361,0.5944326965910555,1.3368069376153076
16,Sun Mar 23 15:11:19 2025,10,16000.0,661.920922961421,0.4588995464272305,1.2254293964669751
20,Sun Mar 23 15:11:19 2025,5,32192.0,810.6072144624361,0.6156542668144601,1.187239540306276
23,Sun Mar 23 15:11:19 2025,7,25984.0,651.9797974644666,0.7681527579790619,1.260491977510367
24,Sun Mar 23 15:11:19 2025,8,38784.0,865.5189027078676,0.6505929424280446,1.4162945170399523
27,Sun Mar 23 15:11:19 2025,20,44928.0,859.7442994522837,0.7638152768458046,1.4456214547437851
30,Sun Mar 23 15:11:19 2025,2,15040.0,893.1168824543142,0.23694148312866975,1.9760544045873374
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:14:05 2025,4,99712.0,1306.4204896855322,0.7341610248875443,1.1417176232962662
1,Sun Mar 23 15:14:05 2025,17,19776.0,685.636651713959,0.5286402986577836,1.4182430952575018
3,Sun Mar 23 15:14:05 2025,9,10240.0,434.5584412271571,0.6814177462710008,1.2864817408942586
4,Sun Mar 23 15:14:05 2025,15,25280.0,675.6955262170047,0.6958006765565301,1.1520196793462218
5,Sun Mar 23 15:14:05 2025,13,39168.0,856.4305909532991,0.6710531465729568,1.1721962835653679
7,Sun Mar 23 15:14:05 2025,3,30976.0,895.8620484583752,0.485012489102827,1.4085226991459017
8,Sun Mar 23 15:14:05 2025,1,26880.0,717.636651713959,0.6558883333408695,1.2903688178746857
11,Sun Mar 23 15:14:05 2025,10,23744.0,793.8031739553294,0.47351973671826675,1.170197998666211
14,Sun Mar 23 15:14:05 2025,7,26432.0,656.6660889654818,0.7702837054634718,1.234420823579354
15,Sun Mar 23 15:14:05 2025,20,48512.0,865.5189027078675,0.8137779708918447,1.470924256475566
17,Sun Mar 23 15:14:05 2025,8,32128.0,866.6072144624361,0.5375872435545626,1.4214539271062216
19,Sun Mar 23 15:14:05 2025,6,13120.0,510.15642097360376,0.6334859464140301,1.1370961552543488
20,Sun Mar 23 15:14:05 2025,5,27200.0,757.920922961421,0.595019194312865,1.3031871415830576
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:15:31 2025,4,93312.0,1342.018469431979,0.651074035645305,1.1842046768284802
4,Sun Mar 23 15:15:31 2025,17,37824.0,813.636651713959,0.717986553855822,1.071242385818976
6,Sun Mar 23 15:15:31 2025,9,15424.0,566.4406922210657,0.6040849151093919,1.3534746816507848
9,Sun Mar 23 15:15:31 2025,3,42240.0,921.5189027078675,0.62506513767106,1.1158820284305524
11,Sun Mar 23 15:15:31 2025,15,20032.0,594.842712474619,0.7114262487984314,1.0924726098434552
15,Sun Mar 23 15:15:31 2025,1,23424.0,676.2640687119285,0.6436329915789339,1.1586384082488947
18,Sun Mar 23 15:15:31 2025,10,40320.0,839.8620484583752,0.718314236104701,1.0874331790667766
20,Sun Mar 23 15:15:31 2025,7,25088.0,656.6660889654818,0.7311167373890579,1.2471078533590014
21,Sun Mar 23 15:15:31 2025,20,50240.0,936.1463197058371,0.7203972166155069,1.4616840248796004
23,Sun Mar 23 15:15:31 2025,13,18176.0,711.0092347159896,0.4518119309770439,1.4130247983949606
25,Sun Mar 23 15:15:31 2025,8,15104.0,533.8721497261419,0.665928051367171,1.5701589178715105
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 15:50:42 2025,4,91200.0,1313.9007204258874,0.6638647374706674,1.2314282771635339
1,Sun Mar 23 15:50:42 2025,17,41152.0,936.430590953299,0.5897251176347343,1.4414490047328983
